No,チャプター,質問,解答
770,第三世界,民主党出身のアメリカ大統領でキューバ危機以降米ソ共存政策を推し進めた人物は誰か,ケネディ
771,第三世界,アメリカ大統領ケネディが国内政策として掲げたスローガンを何というか,ニューフロンティア政策
772,第三世界,ケネディの暗殺後大統領に昇格しベトナム戦争の北爆を強行し批判された人物は誰か,ジョンソン
773,第三世界,ジョンソンが1964年に制定した黒人保護のための人種差別撤廃法を何と言うか,公民権法
774,第三世界,1964年のフルシチョフ解任後ソ連共産党書記長として絶対的権力を維持した人物は誰か,ブレジネフ
775,第三世界,東ベルリンから西ベルリンに脱出する者が増えた東ドイツでこれを阻止するために取られた処置をなんというか,ベルリンの壁の構築
776,第三世界,1968年に東欧一の工業国で自由化の波が広がったがこの動きを何と言うか,プラハの春
777,第三世界,1973年アラブ側が攻撃し米ソの仲介で沈静化した戦争を何と言うか,第4次中東戦争
778,第三世界,アラブ石油輸出国機構の石油戦略により石油価格の大幅な値上げがあったため日本などの先進国の経済が衝撃を受けた現象を何というか,オイル・ショック（石油危機）
779,第三世界,バンドン会議が開かれた年号は何か,1955年
780,第三世界,キューバ危機が起きた年号は何か,1962年
781,第三世界,ASEANが結成された年号は何か,1967年
782,第三世界,9・30事件が起きた年号は何か,1965年
783,第三世界,第3次中東戦争が起きた年号は何か,1967年
784,冷戦の終わり,1968年国連総会で採択されたもので核保有国が新たに核兵器を保有することを禁止した条約を何と言うか,核不拡散条約（NPT）
785,冷戦の終わり,1969年以来米ソ両国間で核兵器の制限交渉が進められ72年には核兵器の現状凍結する協定が結ばれたがこの交渉を何というか,第1次戦略兵器制限交渉（SALT I）
786,冷戦の終わり,1978年に日本と中国で結ばれた条約を何と言うか,日中平和友好条約
787,冷戦の終わり,1992年のマーストリヒト条約によってECは何という機構に発展したか,ヨーロッパ連合（EU）
788,冷戦の終わり,イギリスにおいて1979年の選挙で保守党が勝利した時の女性首相は誰か,サッチャー
789,冷戦の終わり,ドイツでは社会民主党の首相に変わり1982年にはキリスト教民主同盟が選挙に勝ったがその時の首相は誰か,コール
790,冷戦の終わり,共和党出身でカリフォルニア知事から1980年に大統領に当選し「強いアメリカ」を唱えて強硬外交を進めた人物は誰か,レーガン
791,冷戦の終わり,アメリカのブッシュ大統領は1989年ソ連のゴルバチョフとの間で首脳会談を行い事実上冷戦を終結させたがこの会談をなんというか,マルタ会談
792,冷戦の終わり,1979年ソ連軍が突如軍事介入して全土を占領した国はどこか,アフガニスタン
793,冷戦の終わり,1979年から就任したイランの隣国（イラク）の大統領は誰か,サダム・フセイン
794,冷戦の終わり,1985年にソ連の書記長となりソ連社会の停滞を打ち破るためソ連の社会政治の見直しを始めた政治家は誰か,ゴルバチョフ
795,冷戦の終わり,ソ連のゴルバチョフの政策でソ連の政治社会に関わる改革を何というか,ペレストロイカ
796,冷戦の終わり,1991年からのロシア連邦の大統領は誰か,エリツィン
797,冷戦の終わり,1991年ロシア連邦を中心に11の共和国が結成した組織を何というか,独立国家共同体（CIS）
798,冷戦の終わり,1989年東ドイツで起こった劇的な大変動を何というか,ベルリンの壁崩壊
799,冷戦の終わり,1989年中国で民主化を要求する学生・労働者を政府が武力で弾圧した事件を何と言うか,第二次天安門事件
800,冷戦の終わり,南アフリカ共和国が国際世論の批判の中で行っていた独自の黒人差別政策を何と言うか,アパルトヘイト
801,冷戦の終わり,ベトナム戦争後カンボジアでは農業を基盤とした共産主義社会の建設を強行して多くの犠牲者を出したがその指導者は誰か,ポル・ポト
802,冷戦の終わり,1980年ポーランドのワレサの指導のもとに結成され自由化を主張した組織を何と言うか,「連帯」
803,冷戦の終わり,1979年中国がベトナムへ侵攻したことで起きた社会主義国同士の戦争を何というか,中越戦争
804,冷戦の終わり,冷戦の終了後世界の地域紛争の調停に主導的役割を演ずるようになった国連運動を何と言うか,国連平和維持活動（PKO）
805,冷戦の終わり,チトーが死去した年号は何か,1980年
806,冷戦の終わり,ベルリンの壁が崩壊した年号は何か,1989年
807,冷戦の終わり,ソ連が崩壊した年号は何か,1991年
808,冷戦の終わり,マーストリヒト条約が調印された年号は何か,1992年
809,冷戦の終わり,EUでユーロが使用され始めた年号は何か,1999年
810,現代,南北問題解決のために4年に1回開催される国連の補助機関を何というか,国連貿易開発会議（UNCTAD）
811,現代,韓国・台湾・シンガポール・ブラジルなどの発展途上国の中で工業の育成に成功した地域を何というか,新興工業経済地域（NIES）
812,現代,1989年にオーストラリアのホーク首相が提唱した環太平洋地域における多国間経済協力を進めるための機構を何というか,アジア太平洋経済協力会議（APEC）
813,現代,1967年イスラエルがたった6日でアラブ諸国に圧勝した戦争を何というか,第3次中東戦争
814,現代,第3次中東戦争によってイスラエルに奪われた土地回復のためパレスチナ人が結成した解放機構を何というか,パレスチナ解放機構（PLO）
815,現代,1970年にナセルの死後エジプト大統領に就任したのは誰か,サダト
816,現代,1979年のエジプト・イスラエル平和条約によってイスラエルがエジプトに返還したのはどの地域か,シナイ半島
817,現代,パフレヴィー2世の近代化政策が農村の貧富の差を拡大したため起こった国王の独裁への反対運動の宗教指導者は誰か,ホメイニ
818,現代,ホメイニのもとに1979年に成立した国家を何というか,イラン・イスラム共和国
819,現代,サダム・フセインが国境問題の対立から1980年イランに侵入して起きた長期の戦争を何というか,イラン・イラク戦争
820,現代,サダム・フセインが1990年にクウェートに侵攻したがアメリカを中心とする多国籍軍の攻撃で敗退した戦争を何というか,湾岸戦争
821,現代,1986年ソ連の原子炉で起こり放射能汚染が周辺諸国にも広がった重大な事故を何と言うか,チェルノブイリ原発事故
822,現代,大韓民国と日本との間で1965年に結ばれた条約を何と言うか,日韓基本条約
823,現代,1980年韓国で朴正熙の死後大統領になったのは誰か,全斗煥
824,現代,1988年韓国において初めて国民投票によって選ばれた大統領は誰か,盧泰愚
825,現代,韓国の政治家で1980年の光州事件で逮捕されたのは誰か,金大中
826,現代,1994年黒人として初の南アフリカ共和国初代大統領に就任したのは誰か,ネルソン・マンデラ
827,現代,人間の無意識の世界を研究する精神分析学を確立したのは誰か,フロイト
828,現代,相対性理論を発表した科学者は誰か,アインシュタイン
829,現代,現代物理学の中で素粒子・原子核などに適用する力学を何というか,量子力学
830,現代,1883年にドイツ人のダイムラーが発明しその後アメリカ人のフォードが大量生産方式にしたものを何というか,自動車
831,現代,1903年ライト兄弟が発明し第1次世界大戦で初めて兵器として用いられたものを何というか,飛行機
832,現代,人工的にロケットで打ち上げた物体が地球の周りを公転し続けるように軌道に乗せたものを何と言うか,人工衛星
833,現代,ペニシリンなどの化学療法の物質を何というか,抗生物質
834,現代,アメリカ哲学思想の主流となった思想で実用的な価値を重んじる現代の哲学思想を何というか,プラグマティズム
835,現代,スペイン生まれのフランスの画家で『ゲルニカ』で知られる作者は誰か,ピカソ
836,現代,アメリカの宇宙船で1969年初の月面着陸・帰還に成功したものは何と呼ばれているか,アポロ11号
837,現代,『収容所群島』の著者は誰か,ソルジェニツィン
838,現代,サグラダ・ファミリアの建築に取りかかったスペインの建築家は誰か,ガウディ
839,現代,26歳で大学教授となったドイツの天才的物理学者で不確定性原理を発表し後にドイツの原爆製造にも関わって製造を遅らせようとしたと言われる人物は誰か,ハイゼンベルク
840,現代,キャロザースが開発した合成繊維を何というか,ナイロン
841,現代,2015年に採択されたもので気候変動枠組み条約に加盟するすべての国が批准したとともに中華人民共和国とアメリカ合衆国が両方とも批准したという意味で重要な意味がある気候変動抑制のための協定は何か,パリ協定
842,現代,19世紀の実証主義・合理主義への反動として生まれ人間を本来非合理的存在として捉え不条理の中に動揺する人間のあり方を追求する哲学は何か,実存主義
843,現代,アフリカ連合（AU）が結成された年号は何か,2002年
844,現代,東日本大震災が発生した年号は何か,2011年
845,現代,パリ協定が締結された年号は何か,2015年
846,現代,シンガポールでの米朝首脳会談が実現した年号は何か,2018年
847,現代,アメリカが中華人民共和国におけるウイグル人弾圧をジェノサイドと認定した年号は何か,2021年
